Image,Index,PortraitTrans,,,,,,,,,,,,,LandscapeTrans,,,,,,,,,,,,,
,,Det,SubDet,projcoeff1,projcoeff2,projcoeff3,projcoeff4,projcoeff5,projcoeff6,projcoeff7,projcoeff8,projcoeff9,projscalex,projscaley,Det,SubDet,projcoeff1,projcoeff2,projcoeff3,projcoeff4,projcoeff5,projcoeff6,projcoeff7,projcoeff8,projcoeff9,projscalex,projscaley,
30006_M_4X_R_0317_15.jpg,0,0.0068437,-111.9882035,2.6349708,-0.0439514,358.0000000,0.0173614,1.3142514,201.0000000,0.0000309,-0.0000328,1.0000000,7.8740157,7.8740157,0.0009418,-304.0579323,1.8704900,-0.0619145,358.0000000,0.0123244,1.8513940,201.0000000,0.0000219,-0.0000463,1.0000000,7.8740157,7.8740157,
30006_M_4X_R_0317_16.jpg,0,0.0026267,-84.4576992,2.7849557,-0.0024875,256.0000000,-0.0116919,1.3322294,263.0000000,0.0000411,-0.0000130,1.0000000,7.8740157,7.8740157,-0.0018265,-223.5837238,1.9769599,-0.0035041,256.0000000,-0.0082997,1.8767197,263.0000000,0.0000292,-0.0000183,1.0000000,7.8740157,7.8740157,
40004_M_4X_R_0317_18.jpg,0,-0.0119186,-71.2505762,2.8333971,0.0117105,187.0000000,0.0530834,1.3847917,275.0000000,0.0000593,0.0000159,1.0000000,7.8740157,7.8740157,-0.0133501,-176.8314347,2.0113471,0.0164967,187.0000000,0.0376824,1.9507646,275.0000000,0.0000421,0.0000224,1.0000000,7.8740157,7.8740157,
40004_M_4X_R_0317_20.jpg,0,0.0087234,-32.9121739,2.7130150,-0.0312204,108.0000000,0.0058262,1.3096538,315.0000000,-0.0000007,-0.0000161,1.0000000,7.8740157,7.8740157,0.0066683,-90.4687831,1.9258914,-0.0439804,108.0000000,0.0041358,1.8449175,315.0000000,-0.0000005,-0.0000227,1.0000000,7.8740157,7.8740157,
40004_M_4X_R_0317_22.jpg,0,-0.0070964,-109.9733811,2.7936062,0.0404008,325.0000000,0.0557929,1.3402574,273.0000000,0.0000815,-0.0000021,1.0000000,7.8740157,7.8740157,-0.0150162,-287.7363788,1.9831007,0.0569129,325.0000000,0.0396057,1.8880289,273.0000000,0.0000578,-0.0000030,1.0000000,7.8740157,7.8740157,
40004_M_4X_R_0317_23.jpg,0,-0.0174960,-116.7353266,2.9359024,0.0085144,283.0000000,0.0745250,1.4153335,308.0000000,0.0000789,0.0000147,1.0000000,7.8740157,7.8740157,-0.0221258,-280.1649037,2.0841127,0.0119943,283.0000000,0.0529032,1.9937890,308.0000000,0.0000560,0.0000207,1.0000000,7.8740157,7.8740157,
40004_P_4X_R_0317_17.jpg,0,0.0085420,-43.9641972,2.9602660,-0.0438124,120.0000000,0.0476906,1.3724525,149.0000000,0.0000359,-0.0000363,1.0000000,7.8740157,7.8740157,0.0050824,-110.9778462,2.1014077,-0.0617188,120.0000000,0.0338542,1.9333823,149.0000000,0.0000255,-0.0000511,1.0000000,7.8740157,7.8740157,
40004_P_4X_R_0317_21.jpg,0,0.0063961,-77.2609377,2.5437383,-0.0214214,394.0000000,0.0379865,1.1968651,322.0000000,0.0000404,-0.0000203,1.0000000,7.8740157,7.8740157,-0.0008938,-269.7435528,1.8057267,-0.0301765,394.0000000,0.0269655,1.6860312,322.0000000,0.0000286,-0.0000286,1.0000000,7.8740157,7.8740157,
40004_P_4X_R_0317_24.jpg,0,-0.0059350,-89.4159532,2.9295273,-0.0141150,282.0000000,0.0955001,1.3192623,208.0000000,0.0000954,-0.0000078,1.0000000,7.8740157,7.8740157,-0.0144029,-241.1569677,2.0795872,-0.0198839,282.0000000,0.0677928,1.8584530,208.0000000,0.0000677,-0.0000110,1.0000000,7.8740157,7.8740157,
40004_P_4X_R_0317_25.jpg,0,-0.0031612,-98.6809573,2.8555945,-0.0343271,290.0000000,0.0939717,1.3424705,254.0000000,0.0000847,-0.0000135,1.0000000,7.8740157,7.8740157,-0.0116878,-257.5171746,2.0271044,-0.0483568,290.0000000,0.0667078,1.8911465,254.0000000,0.0000601,-0.0000190,1.0000000,7.8740157,7.8740157,
